order_id,item_name
data4_0,citrus fruit
data4_1,tropical fruit
data4_2,whole milk
data4_3,pip fruit
data4_4,other vegetables
data4_5,whole milk
data4_6,rolls/buns
data4_7,other vegetables
data4_8,potted plants
data4_9,whole milk
data4_10,tropical fruit
data4_11,citrus fruit
data4_12,beef
data4_13,frankfurter
data4_14,chicken
data4_15,butter
data4_16,fruit/vegetable juice
data4_17,packaged fruit/vegetables
data4_18,chocolate
data4_19,specialty bar
data4_20,other vegetables
data4_21,butter milk
data4_22,whole milk
data4_23,tropical fruit
data4_24,tropical fruit
data4_25,bottled water
data4_26,yogurt
data4_27,sausage
data4_28,other vegetables
data4_29,brown bread
data4_30,yogurt
data4_31,hamburger meat
data4_32,root vegetables
data4_33,pork
data4_34,beef
data4_35,pastry
data4_36,fruit/vegetable juice
data4_37,canned beer
data4_38,root vegetables
data4_39,citrus fruit
data4_40,sausage
data4_41,tropical fruit
data4_42,berries
data4_43,canned beer
data4_44,butter milk
data4_45,coffee
data4_46,pastry
data4_47,rolls/buns
data4_48,misc. beverages
data4_49,root vegetables
data4_50,sausage
data4_51,canned beer
data4_52,ham
data4_53,turkey
data4_54,whole milk
data4_55,whole milk
data4_56,packaged fruit/vegetables
data4_57,rolls/buns
data4_58,ham
data4_59,rolls/buns
data4_60,other vegetables
data4_61,sausage
data4_62,sausage
data4_63,frankfurter
data4_64,rolls/buns
data4_65,whole milk
data4_66,curd cheese
data4_67,red/blush wine
data4_68,sausage
data4_69,tropical fruit
data4_70,red/blush wine
data4_71,whole milk
data4_72,frankfurter
data4_73,whole milk
data4_74,frozen potato products
data4_75,other vegetables
data4_76,citrus fruit
data4_77,flour
data4_78,sugar
data4_79,frozen meals
data4_80,chocolate
data4_81,root vegetables
data4_82,root vegetables
data4_83,herbs
data4_84,bottled water
data4_85,sausage
data4_86,coffee
data4_87,pork
data4_88,berries
data4_89,soda
data4_90,berries
data4_91,fruit/vegetable juice
data4_92,citrus fruit
data4_93,pork
data4_94,detergent
data4_95,grapes
data4_96,sausage
data4_97,chicken
data4_98,whole milk
data4_99,citrus fruit
data4_100,soda
data4_101,sausage
data4_102,frankfurter
data4_103,sausage
data4_104,soda
data4_105,rolls/buns
data4_106,beef
data4_107,whole milk
data4_108,processed cheese
data4_109,tropical fruit
data4_110,frankfurter
data4_111,packaged fruit/vegetables
data4_112,whole milk
data4_113,berries
data4_114,citrus fruit
data4_115,tropical fruit
data4_116,hamburger meat
data4_117,hamburger meat
data4_118,whole milk
data4_119,fish
data4_120,frankfurter
data4_121,packaged fruit/vegetables
data4_122,pastry
data4_123,other vegetables
data4_124,misc. beverages
data4_125,frankfurter
data4_126,sparkling wine
data4_127,specialty bar
data4_128,sausage
data4_129,curd cheese
data4_130,frankfurter
data4_131,whole milk
data4_132,newspapers
data4_133,berries
data4_134,curd
data4_135,tropical fruit
data4_136,soda
data4_137,rolls/buns
data4_138,canned beer
data4_139,canned beer
data4_140,frankfurter
data4_141,other vegetables
data4_142,whole milk
data4_143,whole milk
data4_144,citrus fruit
data4_145,frankfurter
data4_146,frankfurter
data4_147,butter milk
data4_148,hamburger meat
data4_149,pasta
data4_150,other vegetables
data4_151,sausage
data4_152,rolls/buns
data4_153,grapes
data4_154,root vegetables
data4_155,coffee
data4_156,popcorn
data4_157,whole milk
data4_158,tropical fruit
data4_159,beef
data4_160,whole milk
data4_161,frankfurter
data4_162,tropical fruit
data4_163,canned beer
data4_164,finished products
data4_165,beverages
data4_166,hamburger meat
data4_167,whole milk
data4_168,finished products
data4_169,other vegetables
data4_170,ham
data4_171,other vegetables
data4_172,curd
data4_173,bottled beer
data4_174,curd
data4_175,whole milk
data4_176,whole milk
data4_177,dessert
data4_178,sausage
data4_179,other vegetables
data4_180,ham
data4_181,other vegetables
data4_182,other vegetables
data4_183,soda
data4_184,herbs
data4_185,frankfurter
data4_186,rolls/buns
data4_187,curd
data4_188,frankfurter
data4_189,other vegetables
data4_190,dog food
data4_191,specialty bar
data4_192,curd
data4_193,frankfurter
data4_194,soda
data4_195,beef
data4_196,canned beer
data4_197,pork
data4_198,frankfurter
data4_199,sausage
data4_200,canned beer
data4_201,specialty chocolate
data4_202,curd
data4_203,canned beer
data4_204,whole milk
data4_205,rolls/buns
data4_206,pork
data4_207,citrus fruit
data4_208,potted plants
data4_209,rolls/buns
data4_210,butter
data4_211,condensed milk
data4_212,sausage
data4_213,whole milk
data4_214,sausage
data4_215,beverages
data4_216,beverages
data4_217,bottled water
data4_218,newspapers
data4_219,cleaner
data4_220,sausage
data4_221,newspapers
data4_222,sausage
data4_223,misc. beverages
data4_224,white wine
data4_225,sausage
data4_226,meat
data4_227,frankfurter
data4_228,ice cream
data4_229,canned beer
data4_230,tropical fruit
data4_231,meat
data4_232,whole milk
data4_233,sausage
data4_234,frankfurter
data4_235,meat
data4_236,root vegetables
data4_237,root vegetables
data4_238,whole milk
data4_239,citrus fruit
data4_240,citrus fruit
data4_241,other vegetables
data4_242,citrus fruit
data4_243,sausage
data4_244,frankfurter
data4_245,hard cheese
data4_246,cream cheese
data4_247,turkey
data4_248,pork
data4_249,whole milk
data4_250,rolls/buns
data4_251,sausage
data4_252,ice cream
data4_253,liquor
data4_254,pip fruit
data4_255,root vegetables
data4_256,soda
data4_257,soda
data4_258,sausage
data4_259,root vegetables
data4_260,pork
data4_261,pork
data4_262,chocolate
data4_263,fruit/vegetable juice
data4_264,pickled vegetables
data4_265,bottled water
data4_266,frankfurter
data4_267,tropical fruit
data4_268,canned beer
data4_269,root vegetables
data4_270,meat
data4_271,frankfurter
data4_272,tropical fruit
data4_273,tropical fruit
data4_274,citrus fruit
data4_275,hamburger meat
data4_276,chicken
data4_277,chicken
data4_278,frankfurter
data4_279,canned beer
data4_280,turkey
data4_281,packaged fruit/vegetables
data4_282,pasta
data4_283,citrus fruit
data4_284,sausage
data4_285,whole milk
data4_286,canned beer
data4_287,citrus fruit
data4_288,liquor (appetizer)
data4_289,citrus fruit
data4_290,sausage
data4_291,chicken
data4_292,hamburger meat
data4_293,sausage
data4_294,beef
data4_295,citrus fruit
data4_296,UHT-milk
data4_297,candy
data4_298,newspapers
data4_299,beef
data4_300,sausage
data4_301,frankfurter
data4_302,canned beer
data4_303,bottled beer
data4_304,onions
data4_305,tropical fruit
data4_306,bottled water
data4_307,beef
data4_308,sausage
data4_309,hair spray
data4_310,chicken
data4_311,pork
data4_312,ice cream
data4_313,meat
data4_314,other vegetables
data4_315,bottled water
data4_316,tropical fruit
data4_317,photo/film
data4_318,sausage
data4_319,grapes
data4_320,domestic eggs
data4_321,rolls/buns
data4_322,tropical fruit
data4_323,chicken
data4_324,frankfurter
data4_325,berries
data4_326,margarine
data4_327,tropical fruit
data4_328,ham
data4_329,hamburger meat
data4_330,yogurt
data4_331,soda
data4_332,yogurt
data4_333,soda
data4_334,bottled water
data4_335,sausage
data4_336,citrus fruit
data4_337,shopping bags
data4_338,newspapers
data4_339,frankfurter
data4_340,sausage
data4_341,frankfurter
data4_342,salt
data4_343,oil
data4_344,curd
data4_345,other vegetables
data4_346,citrus fruit
data4_347,frankfurter
data4_348,root vegetables
data4_349,tropical fruit
data4_350,beef
data4_351,berries
data4_352,canned beer
data4_353,whipped/sour cream
data4_354,root vegetables
data4_355,whole milk
data4_356,beef
data4_357,frozen vegetables
data4_358,rolls/buns
data4_359,whole milk
data4_360,whole milk
data4_361,citrus fruit
data4_362,pastry
data4_363,frankfurter
data4_364,tropical fruit
data4_365,frankfurter
data4_366,berries
data4_367,rolls/buns
data4_368,root vegetables
data4_369,yogurt
data4_370,other vegetables
data4_371,berries
data4_372,berries
data4_373,other vegetables
data4_374,rolls/buns
data4_375,ham
data4_376,whole milk
data4_377,tropical fruit
data4_378,bottled water
data4_379,butter milk
data4_380,newspapers
data4_381,coffee
data4_382,bottled beer
